
Treesize _GSDATA_ ALL DRIVE & NETWORK

Name	Containing Path	Size	Allocated	Last Modified	Last Accessed	Type	Owner
2015-1120-034627-ASUS-BIGGER-C - C ASUS EEE.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	11.9 KB	12.0 KB	21/11/2015	21/11/2015	.log (Notepad++ Document)	Administrators
2015-1121-201546-ASUS-BIGGER-MINI_BOOT & DOS6.22 - ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	5.3 KB	8.0 KB	21/11/2015	21/11/2015	.log (Notepad++ Document)	Administrators
2015-1122-195938-ASUS-BIGGER-C - C ASUS EEE.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.5 KB	4.0 KB	22/11/2015	22/11/2015	.log (Notepad++ Document)	Administrators
2015-1122-235557-ASUS-BIGGER-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.7 KB	4.0 KB	23/11/2015	23/11/2015	.log (Notepad++ Document)	Administrators
2015-1123-051434-ASUS-BIGGER-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	14.9 KB	16.0 KB	23/11/2015	23/11/2015	.log (Notepad++ Document)	Administrators
2015-1124-012107-ASUS-BIGGER-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.3 KB	4.0 KB	24/11/2015	24/11/2015	.log (Notepad++ Document)	Administrators
2015-1124-022253-ASUS-BIGGER-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.8 KB	4.0 KB	24/11/2015	24/11/2015	.log (Notepad++ Document)	Administrators
2015-1217-140923-ASUS-BIGGER-C Sync ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.7 KB	4.0 KB	17/12/2015	17/12/2015	.log (Notepad++ Document)	Administrators
2015-1217-141431-ASUS-BIGGER-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	29.7 KB	32.0 KB	17/12/2015	17/12/2015	.log (Notepad++ Document)	Administrators
2015-1225-001719-ASUS-BIGGER-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.0 KB	4.0 KB	25/12/2015	25/12/2015	.log (Notepad++ Document)	Administrators
2016-0111-062652-ASUS-BIGGER-C Sync ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.9 KB	4.0 KB	11/01/2016	11/01/2016	.log (Notepad++ Document)	Administrators
2016-0118-070852-ASUS-X5DIJ-C Sync ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	109.8 KB	112.0 KB	18/01/2016	18/01/2016	.log (Notepad++ Document)	Administrators
2016-0123-052712-ASUS-X5DIJ-C Sync ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	51.9 KB	52.0 KB	23/01/2016	23/01/2016	.log (Notepad++ Document)	Guest
2016-0123-055821-ASUS-X5DIJ-C Sync ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	287.7 KB	288.0 KB	23/01/2016	23/01/2016	.log (Notepad++ Document)	Guest
2016-0124-044755-ASUS-X5DIJ-C Sync ASUS EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	4.2 KB	8.0 KB	24/01/2016	24/01/2016	.log (Notepad++ Document)	Guest
2016-0206-181707-ASUS-X5DIJ-C Sync ASUS EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	5.9 KB	8.0 KB	06/02/2016	06/02/2016	.log (Notepad++ Document)	Guest
2016-0403-184010-2-ASUS-X5DIJ-C -- ASUS-EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	570.4 KB	572.0 KB	03/04/2016	03/04/2016	.log (Notepad++ Document)	Guest
2016-0403-185810-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.9 KB	4.0 KB	03/04/2016	03/04/2016	.log (Notepad++ Document)	Guest
2016-0403-191307-2-ASUS-X5DIJ-C -- ASUS-EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.4 KB	4.0 KB	03/04/2016	03/04/2016	.log (Notepad++ Document)	Guest
2016-0403-192049-2-ASUS-X5DIJ-C -- ASUS-EEE C.user-oper.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	0.6 KB	4.0 KB	03/04/2016	03/04/2016	.log (Notepad++ Document)	Guest
2016-0405-053343-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	2.1 KB	4.0 KB	05/04/2016	05/04/2016	.log (Notepad++ Document)	Guest
2016-0406-054149-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.9 KB	4.0 KB	06/04/2016	06/04/2016	.log (Notepad++ Document)	Guest
2016-0407-061617-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.8 KB	4.0 KB	07/04/2016	07/04/2016	.log (Notepad++ Document)	Guest
2016-0408-063033-2-ASUS-X5DIJ-C -- ASUS-EEE C.log	\\1-ASUS-EEE\ASUS-EEE C\_gsdata_\	1.7 KB	4.0 KB	08/04/2016	08/04/2016	.log (Notepad++ Document)	Guest
